"scientificName","taxonKey","rank","taxonomicStatus","kingdom","includes","gbifKey"
"Centaurea nigrescens",3128228,"SPECIES","ACCEPTED","Plantae","3128228: Centaurea nigrescens Willd.",152543964
"Centaurea paniculata",3127613,"SPECIES","ACCEPTED","Plantae","3127613: Centaurea paniculata L.",NA
"Centaurea pectinata",8018277,"SPECIES","ACCEPTED","Plantae","8018277: Centaurea pectinata L.",152543950
"Centaurea phrygia",8305028,"SPECIES","ACCEPTED","Plantae","8305028: Centaurea phrygia L.",NA
"Centaurea solstitialis",7223276,"SUBSPECIES","ACCEPTED","Plantae","7223276: Centaurea solstitialis subsp. solstitialis",NA
"Centaurea solstitialis adamii",NA,NA,NA,NA,NA,152543954
"Centaurea solstitialis solstitialis",NA,NA,NA,NA,NA,152543956
"Centaurea stoebe",3127727,"SPECIES","ACCEPTED","Plantae","3127727: Centaurea stoebe L.",152543977
"Centipeda minima",5391292,"SPECIES","ACCEPTED","Plantae","5391292: Centipeda minima (L.) A.Br. & Asch.",NA
"Centranthus ruber",2888740,"SPECIES","ACCEPTED","Plantae","2888740: Centranthus ruber (L.) DC.",159748639
"Centromadia pungens",3141046,"SPECIES","ACCEPTED","Plantae","3145384: Hemizonia pungens (Hook. & Arn.) Torr. & A.Gray",NA
"Cephalaria alpina",NA,NA,NA,NA,NA,152546308
"Cephalaria gigantea",2888797,"SPECIES","ACCEPTED","Plantae","2888797: Cephalaria gigantea (Ledeb.) Bobrov",152546310
"Cephalaria syriaca",8355821,"SPECIES","ACCEPTED","Plantae","8355821: Cephalaria syriaca (L.) Schrad.",152546309
"Cerastium arvense",10172912,"SPECIES","ACCEPTED","Plantae","7925372: Cerastium ×maureri Schulze",NA
"Cerastium arvense subsp. arvense x tomentosum",NA,NA,NA,NA,NA,159749139
"Cerastium dichotomum",NA,NA,NA,NA,NA,152546087
"Cerastium tomentosum",3085438,"SPECIES","ACCEPTED","Plantae","3085438: Cerastium tomentosum L.",152546088
"Cerbalus",NA,NA,NA,NA,NA,152544085
"Cercidiphyllum japonicum",8060423,"SPECIES","ACCEPTED","Plantae","8060423: Cercidiphyllum japonicum Siebold & Zucc.",152544663
"Cercis siliquastrum",5353590,"SPECIES","ACCEPTED","Plantae","5353590: Cercis siliquastrum L.",152545103
"Cereopsis novaehollandiae",5232432,"SPECIES","ACCEPTED","Animalia","5232432: Cereopsis novaehollandiae Latham, 1802",159746992
"Cerinthe major",2926108,"SPECIES","ACCEPTED","Plantae","2926108: Cerinthe major L.",NA
"Cerinthe minor",NA,NA,NA,NA,NA,152545516
"Cernuella aginnica",4565134,"SPECIES","ACCEPTED","Animalia","4565134: Cernuella aginnica (Locard, 1882)",152543649
"Cernuella neglecta",4565061,"SPECIES","ACCEPTED","Animalia","4565061: Cernuella neglecta (Draparnaud, 1805)",159747879
"Cerobasis annulata",NA,NA,NA,NA,NA,152544620
"Cervus nippon",2440954,"SPECIES","ACCEPTED","Animalia","2440954: Cervus nippon Temminck, 1838",152543260
"Ceryle rudis",NA,NA,NA,NA,NA,159747442
"Chaenomeles japonica",3000610,"SPECIES","ACCEPTED","Plantae","3000610: Chaenomeles japonica (Thunb.) Lindl. ex Spach",152544889
"Chaenorhinum origanifolium",NA,NA,NA,NA,NA,152545639
"Chaenostoma cordatum",5561475,"SPECIES","ACCEPTED","Plantae","3728734: Sutera cordata (Thunb.) Kuntze | 5561475: Chaenostoma cordatum Benth.",NA
"Chaerophyllum aureum",3642531,"SPECIES","ACCEPTED","Plantae","3642531: Chaerophyllum aureum L.",152544642
"Chaerophyllum bulbosum",3034653,"SPECIES","ACCEPTED","Plantae","3034653: Chaerophyllum bulbosum L.",152544644
"Chaerophyllum byzantinum",3642339,"SPECIES","ACCEPTED","Plantae","3642339: Chaerophyllum byzantinum Boiss.",152544639
"Chaetanaphothrips orchidii",NA,NA,NA,NA,NA,152544453
"Chaetopelma olivaceum",NA,NA,NA,NA,NA,152544188
"Chamaecyparis lawsoniana",2683866,"SPECIES","ACCEPTED","Plantae","2683866: Chamaecyparis lawsoniana (A.Murray bis) Parl.",152546540
"Chamaecytisus hirsutus",5354530,"SPECIES","ACCEPTED","Plantae","5354500: Cytisus hirsutus L.",NA
"Chamaeleo calyptratus",2449133,"SPECIES","ACCEPTED","Animalia","2449133: Chamaeleo calyptratus Duméril & Duméril, 1851",NA
"Chamaemelum nobile",5391599,"SPECIES","ACCEPTED","Plantae","3105279: Anthemis nobilis L. | 5391599: Chamaemelum nobile (L.) All.",152543666
"Cheiracanthium furculatum",NA,NA,NA,NA,NA,152544131
"Chelicorophium curvispinum",4314683,"SPECIES","ACCEPTED","Animalia","4314683: Chelicorophium curvispinum (G.O.Sars, 1895)",152543938
"Chelone obliqua",5414932,"SPECIES","ACCEPTED","Plantae","5414932: Chelone obliqua L.",152545658
"Chelydra serpentina",2441905,"SPECIES","ACCEPTED","Animalia","2441905: Chelydra serpentina (Linnaeus, 1758)",NA
"Chen caerulescens",2498165,"SPECIES","ACCEPTED","Animalia","2498167: Anser caerulescens (Linnaeus, 1758) | 8191839: Anser caerulescens caerulescens",159747037
"Chen canagica",2498162,"SPECIES","ACCEPTED","Animalia","2498163: Anser canagicus (Sevastianov, 1802)",159747035
"Chen rossii",2498160,"SPECIES","ACCEPTED","Animalia","2498161: Anser rossii Cassin, 1861",159747036
"Chenonetta jubata",2498046,"SPECIES","ACCEPTED","Animalia","2498046: Chenonetta jubata (Latham, 1802)",159747114
"Chenopodiastrum simplex",NA,NA,NA,NA,NA,152545896
"Chenopodium berlandieri",3083920,"SPECIES","ACCEPTED","Plantae","3083920: Chenopodium berlandieri Moq.",152545988
"Chenopodium giganteum",3756077,"SPECIES","ACCEPTED","Plantae","3756077: Chenopodium giganteum D.Don",152545983
"Chenopodium hircinum",3083934,"SPECIES","ACCEPTED","Plantae","3083934: Chenopodium hircinum Schrad.",152545986
"Chenopodium opulifolium",NA,NA,NA,NA,NA,152545984
"Chenopodium polygonoides",NA,NA,NA,NA,NA,159749099
"Chenopodium pratericola",NA,NA,NA,NA,NA,152545985
"Chenopodium probstii",NA,NA,NA,NA,NA,152545978
"Chenopodium quinoa",3083935,"SPECIES","ACCEPTED","Plantae","3083935: Chenopodium quinoa Willd.",152545989
"Chenopodium reynieri",NA,NA,NA,NA,NA,152545982
"Chenopodium striatiforme",NA,NA,NA,NA,NA,152545980
"Chenopodium suecicum",NA,NA,NA,NA,NA,152545987
"Chloephaga melanoptera",5232422,"SPECIES","ACCEPTED","Animalia","5232422: Chloephaga melanoptera (Eyton, 1838)",159746989
"Chloephaga picta",5232428,"SPECIES","ACCEPTED","Animalia","5232428: Chloephaga picta (Gmelin, 1789)",152543200
"Chloephaga poliocephala",5232423,"SPECIES","ACCEPTED","Animalia","5232423: Chloephaga poliocephala P.L.Sclater, 1857",159746987
"Chloris divaricata",5289631,"SPECIES","ACCEPTED","Plantae","5289631: Chloris divaricata R.Br.",NA
"Chloris pectinata",5289623,"SPECIES","ACCEPTED","Plantae","5289623: Chloris pectinata Benth.",152546873
"Chloris pycnothrix",5678495,"SPECIES","ACCEPTED","Plantae","5678495: Chloris pycnothrix Trin.",152546871
"Chloris spinoides",NA,NA,NA,NA,NA,159747203
"Chloris truncata",5289620,"SPECIES","ACCEPTED","Plantae","5289620: Chloris truncata R.Br.",152546872
"Chloris ventricosa",5289629,"SPECIES","ACCEPTED","Plantae","5289629: Chloris ventricosa R.Br.",152546876
"Chloris virgata",5289624,"SPECIES","ACCEPTED","Plantae","5289624: Chloris virgata Sw.",NA
"Chlorophytum comosum",2774846,"SPECIES","ACCEPTED","Plantae","2774846: Chlorophytum comosum (Thunb.) Jacques",159747252
"Chondrilla juncea",8537667,"SPECIES","ACCEPTED","Plantae","8537667: Chondrilla juncea L.",152543652
"Choreutis nemorana",7675186,"SPECIES","ACCEPTED","Animalia","7675186: Choreutis nemorana (Hübner, 1799)",NA
"Chorispora tenella",3044349,"SPECIES","ACCEPTED","Plantae","3044349: Chorispora tenella (Pall.) DC.",152545434
"Chrysemys picta",2443133,"SPECIES","ACCEPTED","Animalia","2443133: Chrysemys picta (Schneider, 1783) | 6156934: Chrysemys picta bellii (Gray, 1831)",NA
"Chrysolina americana",4460066,"SPECIES","ACCEPTED","Animalia","4460066: Chrysolina americana (Linnaeus, 1758)",NA
"Chrysolophus amherstiae",5228033,"SPECIES","ACCEPTED","Animalia","5228033: Chrysolophus amherstiae (Leadbeater, 1829)",159747524
"Chrysolophus pictus",5228034,"SPECIES","ACCEPTED","Animalia","5228034: Chrysolophus pictus (Linnaeus, 1758)",159747523
"Chrysomus icterocephalus",2484103,"SPECIES","ACCEPTED","Animalia","2484103: Chrysomus icterocephalus (Linnaeus, 1766)",159747339
"Cicer arietinum",2947311,"SPECIES","ACCEPTED","Plantae","2947311: Cicer arietinum L.",152545226
"Cicerbita macrophylla macrophylla",NA,NA,NA,NA,NA,152543836
"Cicerbita macrophylla uralensis",NA,NA,NA,NA,NA,152543838
"Cichorium calvum",NA,NA,NA,NA,NA,152543678
"Cichorium endivia",5392243,"SPECIES","ACCEPTED","Plantae","5392243: Cichorium endivia L.",152543679
"Cichorium pumilum",5392270,"SPECIES","ACCEPTED","Plantae","7943507: Cichorium endivia subsp. pumilum (Jacq.) Cout.",152543677
"Cipangopaludina chinensis",NA,NA,NA,NA,NA,156872873
"Cirsium heterophyllum",3113745,"SPECIES","ACCEPTED","Plantae","3113745: Cirsium heterophyllum (L.) Hill",152544164
"Cirsium rivulare",3113637,"SPECIES","ACCEPTED","Plantae","3113637: Cirsium rivulare (Jacq.) All. | 8172088: Cirsium rivulare (Jacq.) Link",152544162
"Cirsium subalpinum",NA,NA,NA,NA,NA,152544166
"Cirsium ×subalpinum",3112994,"SPECIES","ACCEPTED","Plantae","3112994: Cirsium ×subalpinum Gaudich.",NA
"Citrullus lanatus",2874621,"SPECIES","ACCEPTED","Plantae","2874621: Citrullus lanatus (Thunb.) Matsum. & Nakai",152546200
"Citrus ×aurantium",8077391,"SPECIES","ACCEPTED","Plantae","8206387: Citrus ×sinensis (L.) Osbeck",NA
"Cladanthus mixtus",3110767,"SPECIES","ACCEPTED","Plantae","3110782: Anthemis mixta L.",152544228
"Clarias gariepinus",5202793,"SPECIES","ACCEPTED","Animalia","5202793: Clarias gariepinus (Burchell, 1822)",152543481
"Clarkia amoena",5420978,"SPECIES","ACCEPTED","Plantae","5545047: Clarkia amoena subsp. lindleyi (Douglas) F.H.Lewis & M.E.Lewis | 5420978: Clarkia amoena (Lehm.) A.Nelson & J.F.Macbr.",152543422
"Clarkia pulchella",NA,NA,NA,NA,NA,152543423
"Claytonia sibirica",3084742,"SPECIES","ACCEPTED","Plantae","3084742: Claytonia sibirica L.",NA
"Clematis flammula",3921611,"SPECIES","ACCEPTED","Plantae","3921611: Clematis flammula L.",152546348
"Clematis jackmanii",NA,NA,NA,NA,NA,152546350
"Clematis montana",6376216,"SPECIES","ACCEPTED","Plantae","6376216: Clematis montana Buch.-Ham. ex DC.",152546346
"Clematis recta",3033543,"SPECIES","ACCEPTED","Plantae","3033543: Clematis recta L.",NA
"Clematis tangutica",3033535,"SPECIES","ACCEPTED","Plantae","3033535: Clematis tangutica (Maxim.) Korsh.",152546352
"Clematis viticella",3033518,"SPECIES","ACCEPTED","Plantae","3033518: Clematis viticella L.",152546351
"Clerodendrum bungei",2925351,"SPECIES","ACCEPTED","Plantae","2925351: Clerodendrum bungei Steud.",152545784
"Clerodendrum trichotomum",2925366,"SPECIES","ACCEPTED","Plantae","2925366: Clerodendrum trichotomum Thunb.",152545783
"Clethra alnifolia",2888323,"SPECIES","ACCEPTED","Plantae","2888323: Clethra alnifolia L.",152545872
"Clinopodium menthifolium",3883897,"SPECIES","ACCEPTED","Plantae","5610623: Calamintha ascendens Jord. | 7309177: Calamintha menthifolia Host | 3888200: Clinopodium ascendens (Jord.) Samp. | 3883897: Clinopodium menthifolium (Host) Stace",152545728
"Clinopodium nepeta",7096205,"SUBSPECIES","ACCEPTED","Plantae","7309157: Calamintha nepeta subsp. nepeta",NA
"Clinopodium nepeta nepeta",NA,NA,NA,NA,NA,152545727
"Coccinella miranda",8765358,"SPECIES","ACCEPTED","Animalia","8765358: Coccinella miranda Wollaston, 1864",152544551
"Cochlicella acuta",4562917,"SPECIES","ACCEPTED","Animalia","4562917: Cochlicella acuta (O.F.Müller, 1774)",NA
"Cochlicella barbara",2296807,"SPECIES","ACCEPTED","Animalia","2296807: Cochlicella barbara (Linnaeus, 1758)",NA
"Coix lacryma-jobi",2706301,"SPECIES","ACCEPTED","Plantae","2706301: Coix lacryma-jobi L.",152547128
"Colchicum byzantinum",8408816,"SPECIES","ACCEPTED","Plantae","8408816: Colchicum byzantinum Ker Gawl.",NA
"Coleosoma floridanum",2155867,"SPECIES","ACCEPTED","Animalia","2155867: Coleosoma floridanum Banks, 1900",152544148
"Colinus virginianus",9791464,"SPECIES","ACCEPTED","Animalia","9791464: Colinus virginianus (Linnaeus, 1758)",159747504
"Collinsia heterophylla",5414959,"SPECIES","ACCEPTED","Plantae","5414959: Collinsia heterophylla Buist ex Graham",152545645
"Columba livia",2495414,"SPECIES","ACCEPTED","Animalia","10729360: Columba livia var. domestica J.F.Gmelin, 1789 | 2495414: Columba livia J.F.Gmelin, 1789 | 7191490: Columba livia livia | 9310871: Columba livia f. domestica | 10887517: Columba livia domestica",159746959
"Colutea arborescens",7844167,"SPECIES","ACCEPTED","Plantae","7844167: Colutea arborescens L.",152545187
"Colutea media",NA,NA,NA,NA,NA,152545188
"Colutea ×media",2956441,"SPECIES","ACCEPTED","Plantae","2956441: Colutea ×media Willd.",NA
"Commelina coelestis",NA,NA,NA,NA,NA,152546722
"Commelina communis",2764179,"SPECIES","ACCEPTED","Plantae","2764179: Commelina communis L.",152546721
"Commelina diffusa",NA,NA,NA,NA,NA,152546723
"Commelina obliqua",NA,NA,NA,NA,NA,152546724
"Conringia orientalis",3040913,"SPECIES","ACCEPTED","Plantae","3040913: Conringia orientalis (L.) Dumort.",152545409
"Conringia planisiliqua",3040928,"SPECIES","ACCEPTED","Plantae","3040928: Conringia planisiliqua Fisch. & C.A.Mey.",152545408
"Consolida ajacis",NA,NA,NA,NA,NA,159748666
"Consolida orientalis",NA,NA,NA,NA,NA,159748665
"Convolvulus tricolor",7323906,"SUBSPECIES","ACCEPTED","Plantae","7323906: Convolvulus tricolor subsp. tricolor",NA
"Convolvulus tricolor",7427650,"SUBSPECIES","ACCEPTED","Plantae","7427650: Convolvulus tricolor subsp. cupanianus (Tod.) Cavara & Grande",NA
"Convolvulus tricolor cupanianus",NA,NA,NA,NA,NA,152545002
"Convolvulus tricolor tricolor",NA,NA,NA,NA,NA,152545003
"Conyzigeron huelsenii",NA,NA,NA,NA,NA,152544373
"Coracias abyssinicus",NA,NA,NA,NA,NA,159747449
"Corbicula fluminalis",5189032,"SPECIES","ACCEPTED","Animalia","5189032: Corbicula fluminalis (O.F.Müller, 1774)",152543781
"Corbicula fluminea",NA,NA,NA,NA,NA,152543778
"Cordioniscus stebbingi",NA,NA,NA,NA,NA,152543904
"Cordylocarpus muricatus",NA,NA,NA,NA,NA,152545404
"Cordylophora caspia",NA,NA,NA,NA,NA,159747961
"Coregonus lavaretus",NA,NA,NA,NA,NA,152543512
"Coregonus nasus",NA,NA,NA,NA,NA,152543510
"Coregonus peled",NA,NA,NA,NA,NA,152543513
"Coreopsis lanceolata",3133938,"SPECIES","ACCEPTED","Plantae","3133938: Coreopsis lanceolata L.",152544002
"Coreopsis tinctoria",3133950,"SPECIES","ACCEPTED","Plantae","3133950: Coreopsis tinctoria Nutt.",152544004
"Coreopsis verticillata",3133887,"SPECIES","ACCEPTED","Plantae","3133887: Coreopsis verticillata L.",152544000
"Coriandrum sativum",3034871,"SPECIES","ACCEPTED","Plantae","3034871: Coriandrum sativum L.",152544595
"Corispermum pallasii",3083975,"SPECIES","ACCEPTED","Plantae","3083977: Corispermum leptopterum (Asch.) Iljin | 3083975: Corispermum pallasii Stev.",152545991
"Cornus sanguinea",3663237,"SUBSPECIES","ACCEPTED","Plantae","3663237: Cornus sanguinea subsp. australis (C.A.Mey.) Jáv. | 8207659: Cornus sanguinea subsp. australis (C.A.Mey.) Soó, 1978",NA
"Cornus sanguinea",8421432,"SUBSPECIES","ACCEPTED","Plantae","8421432: Cornus sanguinea subsp. hungarica (Kárpáti) Soó",NA
"Cornus sanguinea australis",NA,NA,NA,NA,NA,152544935
"Cornus sanguinea hungarica",NA,NA,NA,NA,NA,152544934
"Cornus sericea",3082244,"SPECIES","ACCEPTED","Plantae","3082244: Cornus sericea L.",152544936
"Coronilla scorpioides",5348644,"SPECIES","ACCEPTED","Plantae","5348644: Coronilla scorpioides (L.) W.D.J.Koch",152545088
"Cortaderia selloana",2704523,"SPECIES","ACCEPTED","Plantae","2704523: Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.",152547090
"Corvus albicollis",2482478,"SPECIES","ACCEPTED","Animalia","2482478: Corvus albicollis Latham, 1790",159747334
"Corvus albus",2482519,"SPECIES","ACCEPTED","Animalia","2482519: Corvus albus Statius Muller, 1776",159747333
"Corvus splendens",2482499,"SPECIES","ACCEPTED","Animalia","2482499: Corvus splendens Vieillot, 1817",159747335
"Corydalis cava",5530881,"SPECIES","ACCEPTED","Plantae","5530881: Corydalis cava (L.) Schweigg. & Körte",NA
"Corydalis cheilanthifolia",5530829,"SPECIES","ACCEPTED","Plantae","5530829: Corydalis cheilanthifolia Hemsl.",152546390
"Corydalis linstowiana",5530855,"SPECIES","ACCEPTED","Plantae","5530855: Corydalis linstowiana Fedde",NA
"Corylus colurna",2875968,"SPECIES","ACCEPTED","Plantae","2875968: Corylus colurna L.",152546179
"Corylus maxima",2876049,"SPECIES","ACCEPTED","Plantae","2876049: Corylus maxima Mill.",152546180
"Corynabutilon suntense",NA,NA,NA,NA,NA,152546234
"Coscinodiscus wailesii",NA,NA,NA,NA,NA,159746847
"Coscoroba coscoroba",2498288,"SPECIES","ACCEPTED","Animalia","2498288: Coscoroba coscoroba (Molina, 1782)",159747043
"Cosmos bipinnatus",3098912,"SPECIES","ACCEPTED","Plantae","3098912: Cosmos bipinnatus Cav.",152544329
"Cosmos sulphureus",3098951,"SPECIES","ACCEPTED","Plantae","3098951: Cosmos sulphureus Cav.",152544328
"Cota altissima",5390611,"SPECIES","ACCEPTED","Plantae","3102730: Anthemis altissima L. | 7827319: Anthemis arvensis Pall. ex M.Bieb. | 5390611: Cota altissima (L.) Gay",152543733
"Cota austriaca",5390636,"SPECIES","ACCEPTED","Plantae","3102828: Anthemis austriaca Jacq.",152543731
"Cotinus coggygria",3190522,"SPECIES","ACCEPTED","Plantae","3190522: Cotinus coggygria Scop.",152543310
"Cotoneaster ambiguus",3025858,"SPECIES","ACCEPTED","Plantae","3025858: Cotoneaster ambiguus Rehder & E.H.Wilson",152544821
"Cotoneaster ascendens",3026024,"SPECIES","ACCEPTED","Plantae","3026024: Cotoneaster ascendens Flinck & B.Hylmö",152544834
"Cotoneaster boisianus",NA,NA,NA,NA,NA,152544846
"Cotoneaster bullatus",3026294,"SPECIES","ACCEPTED","Plantae","3026294: Cotoneaster bullatus Bois ex Bilm. & Bois",152544848
"Cotoneaster conspicuus",3025875,"SPECIES","ACCEPTED","Plantae","3025875: Cotoneaster conspicuus Comber ex Marquand",152544826
"Cotoneaster dammeri",3026049,"SPECIES","ACCEPTED","Plantae","3026049: Cotoneaster dammeri C.K.Schneid.",152544832
"Cotoneaster dielsianus",3025896,"SPECIES","ACCEPTED","Plantae","3025896: Cotoneaster dielsianus E.Pritz.",152544827
"Cotoneaster divaricatus",3026334,"SPECIES","ACCEPTED","Plantae","3026334: Cotoneaster divaricatus Rehder & E.H.Wilson",152544847
"Cotoneaster fangianus",3025932,"SPECIES","ACCEPTED","Plantae","3025932: Cotoneaster fangianus T.T.Yu",152544825
"Cotoneaster franchetii",3026162,"SPECIES","ACCEPTED","Plantae","3026162: Cotoneaster franchetii Boiss.",152544843
"Cotoneaster ganghobaensis",NA,NA,NA,NA,NA,152544828
"Cotoneaster hjelmqvistii",3026092,"SPECIES","ACCEPTED","Plantae","3026092: Cotoneaster hjelmqvistii Flinck & B.Hylmö",152544840
"Cotoneaster horizontalis",3025617,"SPECIES","ACCEPTED","Plantae","3025617: Cotoneaster horizontalis Decne.",152544836
"Cotoneaster hylmoei",3025758,"SPECIES","ACCEPTED","Plantae","3025758: Cotoneaster hylmoei Flinck & J.Fryer | 3026076: Cotoneaster salicifolius var. rugosus Rehder & E.H.Wilson",152544823
"Cotoneaster integrifolius",3026105,"SPECIES","ACCEPTED","Plantae","3026105: Cotoneaster integrifolius (Roxb.) Klotz",152544839
"Cotoneaster laetevirens",NA,NA,NA,NA,NA,152544845
"Cotoneaster lucidus",NA,NA,NA,NA,NA,152544820
"Cotoneaster mairei",3025944,"SPECIES","ACCEPTED","Plantae","3025944: Cotoneaster mairei H.Lév.",152544831
"Cotoneaster moupinensis",NA,NA,NA,NA,NA,152544822
"Cotoneaster nanshan",NA,NA,NA,NA,NA,152544830
"Cotoneaster qungbixiensis",3025907,"SPECIES","ACCEPTED","Plantae","3025907: Cotoneaster qungbixiensis J.Fryer & B.Hylmö",152544824
"Cotoneaster rehderi",3026160,"SPECIES","ACCEPTED","Plantae","3026160: Cotoneaster rehderi Pojark. | 3026161: Cotoneaster bullatus var. macrophyllus Rehder & E.H.Wilson",152544844
"Cotoneaster salicifolius",3026074,"SPECIES","ACCEPTED","Plantae","3026074: Cotoneaster salicifolius Franch.",152544833
"Cotoneaster simonsii",3026107,"SPECIES","ACCEPTED","Plantae","3026107: Cotoneaster simonsii Baker",152544842
"Cotoneaster sternianus",3026154,"SPECIES","ACCEPTED","Plantae","3026154: Cotoneaster sternianus (Turrill) Boom",152544841
"Cotoneaster suecicus",NA,NA,NA,NA,NA,152544835
"Cotoneaster villosulus",3025564,"SPECIES","ACCEPTED","Plantae","3025564: Cotoneaster villosulus (Rehder & E.H.Wilson) Flinck & B.Hylmö",152544838
"Cotoneaster watereri",NA,NA,NA,NA,NA,152544829
"Cotoneaster zabelii",3025605,"SPECIES","ACCEPTED","Plantae","3025605: Cotoneaster zabelii C.K.Schneid.",152544837
"Cotoneaster ×suecicus",3026040,"SPECIES","ACCEPTED","Plantae","3026040: Cotoneaster ×suecicus G.Klotz",NA
"Cotoneaster ×watereri",3026004,"SPECIES","ACCEPTED","Plantae","3026004: Cotoneaster ×watereri Exell",NA
"Cotula australis",8542672,"SPECIES","ACCEPTED","Plantae","8542672: Cotula australis (Sieber ex Spreng.) Hook.fil.",152544233
"Cotula coronopifolia",3112110,"SPECIES","ACCEPTED","Plantae","3112110: Cotula coronopifolia L.",152544237
"Cotula turbinata",3112098,"SPECIES","ACCEPTED","Plantae","3112098: Cotula turbinata L.",NA
"Coturnix japonica",2474162,"SPECIES","ACCEPTED","Animalia","2474162: Coturnix japonica Temminck & Schlegel, 1849",159747547
"Crambe hispanica",5373483,"SUBSPECIES","ACCEPTED","Plantae","5373483: Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina",NA
"Crambe hispanica abyssinica",NA,NA,NA,NA,NA,152545321
"Crangonyx pseudogracilis",2217982,"SPECIES","ACCEPTED","Animalia","2217982: Crangonyx pseudogracilis Bousfield, 1958",152543992
"Crassostrea virginica",NA,NA,NA,NA,NA,152543744
"Crassula decumbens",7334263,"SPECIES","ACCEPTED","Plantae","7334263: Crassula decumbens Thunb.",NA
"Crassula helmsii",5362054,"SPECIES","ACCEPTED","Plantae","5362054: Crassula helmsii (Kirk) Cockayne | 8035075: Crassula helmsii (Kirk) A.Berger",156873457
"Crataegus pedicellata",3015577,"SPECIES","ACCEPTED","Plantae","3015577: Crataegus pedicellata Sarg.",152544906
"Crataegus persimilis",3015457,"SPECIES","ACCEPTED","Plantae","3015457: Crataegus persimilis Sarg.",152544907
"Crepidula fornicata",5192789,"SPECIES","ACCEPTED","Animalia","5192789: Crepidula fornicata (Linnaeus, 1758)",NA
"Crepis bursifolia",5403541,"SPECIES","ACCEPTED","Plantae","5403541: Crepis bursifolia L.",152543858
"Crepis foetida",5831060,"SUBSPECIES","ACCEPTED","Plantae","5831060: Crepis foetida subsp. rhoeadifolia (M.Bieb.) Celak.",NA
"Crepis foetida rhoeadifolia",NA,NA,NA,NA,NA,152543856
"Crepis nicaeensis",7706146,"SPECIES","ACCEPTED","Plantae","7706146: Crepis nicaeensis Balb.",152543850
"Crepis pulchra",5403272,"SPECIES","ACCEPTED","Plantae","5403272: Crepis pulchra L.",152543860
"Crepis sancta nemausensis",NA,NA,NA,NA,NA,152543853
"Crepis setosa",4245384,"SPECIES","ACCEPTED","Plantae","4245384: Crepis setosa Hallier fil.",152543863
"Crepis tectorum",5403508,"SPECIES","ACCEPTED","Plantae","5403508: Crepis tectorum L.",152543861
"Crinifer zonurus",2475212,"SPECIES","ACCEPTED","Animalia","2475212: Crinifer zonurus (Ruppell, 1835)",159747438
"Crithagra mozambica",6100996,"SPECIES","ACCEPTED","Animalia","6100996: Crithagra mozambica (P.L.Statius Müller, 1776)",159747200
"Crithopsis delileana",NA,NA,NA,NA,NA,152546902
"Crocosmia crocosmiiflora",2747939,"SPECIES","ACCEPTED","Plantae","2747939: Crocosmia crocosmiiflora (Lemoine) N.E.Br.",152546678
"Crocus chrysanthus",2747489,"SPECIES","ACCEPTED","Plantae","2747489: Crocus chrysanthus (Herb.) Herb.",152546675
"Crocus luteus",2747750,"SPECIES","ACCEPTED","Plantae","3586380: Crocus stellaris Haw.",159747289
"Crocus tommasinianus",2747564,"SPECIES","ACCEPTED","Plantae","2747564: Crocus tommasinianus Herb.",152546674
"Crocus vernus",2747567,"SPECIES","ACCEPTED","Plantae","2747567: Crocus vernus (L.) Hill | 2747570: Crocus albiflorus Kit. ex Schult.",152546676
"Crossopriza lyoni",2150043,"SPECIES","ACCEPTED","Animalia","2150043: Crossopriza lyoni (Blackwall, 1867)",152544209
"Cryptachaea blattea",NA,NA,NA,NA,NA,152544135
"Cryptachaea veruculata",4550810,"SPECIES","ACCEPTED","Animalia","2157642: Achaearanea veruculata (Urquhart, 1885)",152544136
"Cryptolaemus montrouzieri",1043717,"SPECIES","ACCEPTED","Animalia","1043717: Cryptolaemus montrouzieri Mulsant, 1853",152544566
"Cryptomeria japonica",5284237,"SPECIES","ACCEPTED","Plantae","5284237: Cryptomeria japonica (Thunb. ex L.f.) D.Don",152546531
"Cryptorchestia cavimana",7563173,"SPECIES","ACCEPTED","Animalia","2218567: Orchestia cavimana Heller, 1865",NA
"Ctenolepisma lineata",1421095,"SPECIES","ACCEPTED","Animalia","1421095: Ctenolepisma lineata (Fabricius, 1775)",152544397
"Ctenolepisma longicaudatum",6098843,"SPECIES","ACCEPTED","Animalia","6098843: Ctenolepisma longicaudatum Escherich, 1905",NA
"Ctenopharyngodon idella",2362030,"SPECIES","ACCEPTED","Animalia","2362030: Ctenopharyngodon idella (Valenciennes, 1844)",152543553
"Cucumis dipsaceus",2874574,"SPECIES","ACCEPTED","Plantae","2874574: Cucumis dipsaceus Ehrenb. ex Spach",NA
"Cucumis melo",2874570,"SPECIES","ACCEPTED","Plantae","2874570: Cucumis melo L.",152546203
"Cucumis myriocarpus",NA,NA,NA,NA,NA,159748751
"Cucumis sativus",2874569,"SPECIES","ACCEPTED","Plantae","2874569: Cucumis sativus L.",152546202
"Cucurbita maxima",2874515,"SPECIES","ACCEPTED","Plantae","8315192: Cucurbita maxima Duchesne ex Lam. | 2874515: Cucurbita maxima Duchesne",159748747
